user_id,age,income_bucket,tenure_months,tx_count_30d,avg_tx_amount,digital_activity_score,has_child,is_salary_client,product_credit_card,product_mortgage,product_deposit,product_investment,product_insurance,product_p2p_transfer,product_cashback,product_premium_account,product_business_loan
98bf27b410,56,0,72,16.0,46.674934699494464,0.07815357133854636,True,False,0,1,0,0,1,1,0,0,0
f32b8c2f39,69,2,72,15.0,55.85452625520141,0.41235008090599384,True,False,0,1,1,1,0,0,1,1,1
1a2fb8e0e4,46,0,46,12.0,105.60517046286928,0.1528737390743331,False,False,0,0,1,0,0,0,0,0,1
132cf60063,32,0,50,21.0,82.56114922990773,0.42066198433429963,True,True,1,1,0,0,1,1,0,0,1
fb64154daa,60,0,8,17.0,24.176546960247315,0.23000688395373384,False,True,0,0,0,0,0,1,0,0,0
25b2581d84,25,2,72,13.0,224.44648818151242,0.624723675950493,False,False,1,1,1,1,0,0,0,1,0
92cb93a100,38,2,111,13.0,30.03327117013439,0.11365595267150824,False,False,0,0,1,0,0,0,0,0,0
a1e633fd92,56,2,84,20.0,81.41431023505669,0.26566489101869845,True,True,1,1,0,1,1,1,1,1,0
ba31979fc6,36,1,74,18.0,381.7981140208958,0.3500638010828263,True,True,0,1,1,1,1,1,1,0,1
f391de087c,40,1,12,14.0,27.361059745809854,0.7209742558924713,False,False,1,0,0,1,0,0,0,1,1
a36fccd151,28,0,53,11.0,152.4838508566946,0.17190381151637116,False,True,1,0,0,0,0,0,1,0,1
054202aaa2,28,2,20,14.0,29.682238975393066,0.6160487004547307,True,False,1,1,0,0,0,0,1,1,0
e3b32eee35,41,0,103,12.0,24.46289761649497,0.20838682159630273,False,True,1,0,1,0,0,0,0,0,0
59c865edfd,70,1,88,9.0,31.907640522148633,0.24446460182914476,False,True,0,0,0,1,1,0,0,0,1
3161e3d7a3,53,0,33,10.0,50.04371843667663,0.392937874073117,False,True,1,0,1,1,0,1,0,0,0
321b4108a9,57,2,30,14.0,8.824963301545704,0.10796392494301466,False,True,1,1,0,1,0,1,0,1,1
77755c157e,41,2,24,15.0,151.89711970907368,0.4274064078170248,False,True,1,0,1,0,1,0,0,0,1
1368e76cef,20,2,71,10.0,92.43647950132743,0.31312072428813753,True,True,1,1,1,1,0,1,0,1,1
28f24986d4,39,0,101,17.0,52.06764357496796,0.30070144957343176,False,True,0,0,0,0,0,0,0,0,0
8a7be61c1a,70,2,85,16.0,48.94329518925055,0.11550778452794475,False,True,1,1,0,1,1,0,1,1,0
c570d36587,19,2,86,12.0,122.22158331127493,0.0800457890992652,False,False,1,1,1,0,0,0,0,1,0
e7981186f9,41,0,102,15.0,24.228658817650448,0.4715013898355978,True,False,0,1,1,0,0,0,1,1,0
79cda65764,61,1,87,16.0,25.458777733682933,0.36912364836469996,False,True,1,0,1,0,0,0,1,1,1
63e250d81e,47,0,34,15.0,36.83529994873572,0.08263526108333727,False,True,0,0,0,0,0,0,0,0,1
44a3b973df,55,2,77,11.0,33.0925643896947,0.4511994556522257,True,True,0,1,1,1,1,1,0,1,1
b06b9d057b,19,1,115,14.0,49.91487154905953,0.13418542064061523,False,True,0,0,0,0,1,0,1,1,1
7a7631123a,38,1,7,23.0,71.60021378840602,0.4237315543272324,False,True,1,0,0,0,0,1,0,0,0
bf5a5e79b3,50,0,70,18.0,81.98816778728211,0.3173065211270313,False,False,1,0,1,0,0,0,0,1,0
611819f769,29,1,56,8.0,42.671482868583624,0.17941270784707022,False,False,1,0,1,0,1,0,0,0,1
08b17c2b08,39,0,119,13.0,52.60977724485359,0.05743536075058514,False,True,1,0,1,0,1,0,0,0,0
883d5dbe32,61,3,43,12.0,41.68679855216752,0.24974229979861162,True,False,0,1,0,1,1,0,0,1,0
67ebd64ace,42,0,5,23.0,100.31528966206731,0.07347172296787914,True,False,0,1,0,0,0,0,0,0,1
1cb21a4109,66,0,48,16.0,37.60231821176435,0.15408606976688383,True,False,0,0,1,0,0,1,0,0,0
ef9e3ed7e5,44,2,92,14.0,47.46307700212352,0.3684981641201441,False,False,1,0,1,0,0,1,0,0,0
16863cc8a6,59,3,68,16.0,28.493633282449498,0.1646155458064477,False,True,1,0,1,1,0,1,0,0,1
69121cab18,45,3,83,8.0,57.24360998692043,0.15961946755756984,False,False,0,1,0,1,0,1,0,1,0
7234154fcd,33,0,26,16.0,50.110242504442944,0.4429523425792553,False,False,0,0,1,0,0,1,1,0,1
0d53ce1d0a,32,1,87,9.0,67.2563957220135,0.34882673298098027,False,True,0,1,0,1,0,0,0,0,1
af76951e24,64,2,18,14.0,47.505038055031314,0.5246414625575944,True,True,1,0,0,0,1,0,0,1,0
46517c8955,68,0,9,17.0,71.52289431287635,0.25725983091087334,False,False,0,0,0,1,1,0,0,1,0
d885a99acd,61,2,24,14.0,692.3889114933446,0.20534874464035766,False,False,1,0,1,0,0,0,1,0,0
bcb255cbf1,69,1,22,26.0,22.610553200049445,0.13912019265842177,False,True,0,0,1,0,0,1,1,1,1
dbd6414b5e,20,2,45,15.0,78.67797127827306,0.7252913339116539,False,False,0,0,1,1,0,0,1,1,0
69f4cab9f5,54,3,52,18.0,39.174948732609025,0.5825912013950284,False,True,1,1,0,1,0,1,1,0,0
9f9535849d,68,1,75,11.0,76.43456985480411,0.18567833364659378,False,True,1,0,0,0,0,1,0,0,0
1414e50b32,24,2,49,19.0,36.02902567333548,0.44948863514194276,False,True,0,1,1,0,1,0,1,1,0
091827a80e,38,1,84,18.0,59.0702966715047,0.3042297851443227,False,True,1,1,1,0,1,1,1,1,0
43d2315761,26,1,103,20.0,45.572266404361066,0.4577596034425108,True,True,1,1,1,1,0,0,1,0,1
